id,name,address,area,state,direction_url,scraped_at,opening_time,closing_time
outlet_61,"ZUS Coffee – Jalil Link 1, Bukit Jalil","No.20(GF), Jalan Jalil Jaya 2, Jalil Link, Bukit Jalil 57000 WP Kuala Lumpur",Bukit Jalil,WP Kuala Lumpur,https://maps.app.goo.gl/GgafJATLe1djdh5z5,2025-07-07 01:46:59,09:00,18:00
outlet_62,ZUS Coffee – Menara Technip Energies,"Menara Technip Energies, 38, Jalan Inai, Imbi, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,Federal Territory of Kuala Lumpur,https://maps.app.goo.gl/2qhwJWG5A8jf4poW7,2025-07-07 01:46:59,08:30,18:00
outlet_63,"ZUS Coffee – Jakel Mall, Kuala Lumpur","Lot SC.02 & SC.03, Jakel Mall, Lot 159, Jakel Square Off, Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur",Kuala Lumpur,,https://maps.app.goo.gl/SinZDdy8GsWQohhr6,2025-07-07 01:46:59,06:00,21:00
outlet_64,"ZUS Coffee – Anggun City, Rawang","Lot 40-1, Pusat Komersial Anggun City, 1, Jalan Anggun City 1, Taman Anggun, 48000 Rawang, Selangor",Rawang,Selangor,https://maps.app.goo.gl/pNRC9HwFT298kdUaA,2025-07-07 01:46:59,08:00,18:00
outlet_65,"ZUS Coffee – Olive Business Park, Seri Kembangan","No 36 (LG), Jalan BS 1/3, Pusat Perdagangan Olive Hill, Taman Bukit Serdang Seksyen 1, 43300 Seri Kembangan, Selangor.",Seri Kembangan,Selangor,https://maps.app.goo.gl/ecQ6XHq5W4oN447aA,2025-07-07 01:46:59,06:30,23:00
outlet_66,ZUS Coffee – Bukit Tinggi 1,"No.26-G, Lorong Batu Nilam 3a, Bandar Bukit Tinggi 41200 Klang",Klang,,https://maps.app.goo.gl/zM1roarwqnoHVk7YA,2025-07-07 01:46:59,07:00,22:30
outlet_67,ZUS Coffee – CALTEX Eco Ardence,"No. 2, Jalan Eco Ardence U12/36, Seksyen U12 40170, Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/kZxYiKdfidnaDftEA,2025-07-07 01:46:59,08:00,20:00
outlet_68,"ZUS Coffee – Jalan Seri Mas 1, Hulu Langat","No.33 (Ground Floor), Jalan Seri Mas 1, Taman Seri Emas, 43100 Hulu Langat, Selangor.",Hulu Langat,Selangor,https://maps.app.goo.gl/zGHiZHjhXuJDtNvo6,2025-07-07 01:46:59,10:00,21:30
outlet_69,ZUS Coffee – Pekan Semenyih,"No.40 (Ground Floor), Jalan Pasar Baru, Pekan Semenyih, 43500 Semenyih, Selangor.",Semenyih,Selangor,https://maps.app.goo.gl/mT7LLGgzhHkHxAUbA,2025-07-07 01:46:59,10:00,22:30
outlet_70,ZUS Coffee – Solaris Mont Kiara,"Lot K-OG-14, Soho KL Mont Kiara, No. 2, Jalan Solaris, Solaris Mont Kiara, 50480, Wilayah Persekutuan Kuala Lumpur",Solaris Mont Kiara,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/Nc3SFsKZyhSSgaaF8,2025-07-07 01:46:59,09:00,18:00
